country,leader,party,startofterm,yearbegin,endofterm,yearend,populism_score,ideology_score
Argentina,Cristina Fernandez,Front for Victory,12/10/07,2008,10/23/11,2011,0,12.71
Argentina,Mauricio Macri,Republican Proposal,12/10/15,2016,12/10/19,2020,.037500001,16.24
Bolivia,Evo Morales,Movement for Socialism,1/23/15,2015,11/11/19,2019,1.4625,3.4400001
Chile,Michelle Bachelet,Socialist Party of Chile,3/11/14,2014,3/11/18,2018,.21250001,6.2399998
Chile,Sebastian Pinera,National Renewal,3/11/18,2018,3/12/22,2022,.15000001,16.333
Colombia,Juan Manuel Santos,Social National Unity Party,8/7/14,2014,8/7/18,2018,.0625,17.67
Colombia,Alvaro Uribe,Social National Unity Party,8/7/02,2002,8/7/10,2010,0,18.200001
Costa Rica,Laura Chinchilla Miranda,National Liberation Party,5/8/10,2010,5/8/14,2014,0,12.454545
Costa Rica,Luis Guillermo Solis,Citizens' Action Party,5/8/14,2014,5/8/18,2018,.40000001,6.3600001
Costa Rica,Oscar Arias,National Liberation Party,5/8/06,2006,5/8/10,2010,0,13.2727
Dominican Republic,Danilo Medina,Dominican Liberation Party,8/16/16,2016,8/16/20,2020,.375,11.71
Dominican Republic,Leonel Fernandez,Dominican Liberation Party,8/16/04,2004,8/16/08,2008,.25,12.71
Ecuador,Rafael Correa,Proud and Sovereign Fatherland Alliance,8/10/09,2009,3/22/13,2013,1.7333333,4.1999998
El Salvador,Mauricio Funes,Farabundo Marti National Liberational Front,6/1/09,2009,6/1/14,2014,.625,2
El Salvador,Salvador Sanchez Ceren,Farabundo Marti National Liberational Front,6/1/14,2014,6/1/19,2019,.625,2
Guatemala,Alvaro Colom Caballero,National Unity of Hope,1/14/08,2008,1/14/12,2011,.125,8.375
Guatemala,Otto Perez Molina,Patriotic Party,1/14/12,2012,9/2/15,2015,.34999999,16.857
Honduras,Juan Orlando Hernandez,National Party,1/27/14,2014,1/27/22,2022,.46250001,17.33
Honduras,Manuel Zelaya,Liberal Party of Honduras,1/27/06,2006,6/28/09,2009,.5,15
Honduras,Porfirio Lobo Sosa,National Party,1/27/10,2010,1/27/14,2013,.33333334,17.33
Mexico,Enrique Pena Nieto,Institutional Revolutionary Party,12/1/12,2013,11/30/18,2018,0,11.55
Mexico,Felipe Calderon,National Action Party,12/1/06,2007,12/30/12,2012,.125,16.450001
Nicaragua,Daniel Ortega,Sandinista National Liberation Front,1/10/07,2007,1/10/12,2011,1.25,8.5500002
Panama,Juan Carlos Varela,Panamenista Party,7/1/14,2014,7/1/19,2019,.25,16.889999
Panama,Ricardo Martinelli,Democratic Change,7/1/09,2009,7/1/14,2014,.5,17.879999
Paraguay,Fernando Lugo,Patriotic Alliance for Change,8/15/08,2008,6/22/12,2012,0,5.4000001
Paraguay,Horacio Cartes,The National Republican Association - Colorado Party,8/15/13,2013,8/15/18,2018,.2375,15.7
Peru,Alan Garcia,Alianza Popular Revolucionario de las Americas,7/28/06,2006,7/28/11,2011,1,12.45
Peru,Ollanta Humala,Peruvian Nationalist Party,7/28/11,2011,7/28/16,2016,.5,5.3600001
Uruguay,Jose Mujica,Broad Front,3/1/10,2010,3/1/15,2015,.125,5.2399998
Uruguay,Tabare Vazquez,Broad Front,3/1/15,2015,3/1/20,2020,.21250001,6.6399999
Venezuela,Hugo Chavez,The Fifth Republic Movement,2/2/99,1999,1/10/07,2006,1.9166666,2.6500001
Venezuela,Nicolas Maduro,United Socialist Party of Venezuela,4/19/13,2013,,present,1.6375,2.6500001
